model number 1.000
         1                            0.2766842014                            0.3943136912
         2                            1.0236093498                            0.3307884051
         3                            1.7909164017                            0.2300498688
         4                            2.5703010670                            0.4645931632
         5                            0.6060540461                            1.0427438761
         6                            1.4144403738                            0.9738966724
         7                            2.1213692283                            1.0657206529
         8                            3.0000668811                            1.0445935310
         9                            0.2232955830                            1.7956899996
        10                            1.0713979416                            1.6591078591
        11                            1.7767652145                            1.7122778092
        12                            2.6077528190                            1.6992762343
        13                            0.5984004710                            2.4338125743
        14                            1.3045746190                            2.3321704541
        15                            2.1658518741                            2.2994027762
        16                            2.9615375196                            2.4073978483
